Age,Lumped_Age,Genus,Species,Size,Clade1,Clade2,McHenry_shape1,McHenry_shape2,Pierce_shape,Shape,Shape_clade,image
Adult,three,Crocodylus,C. niloticus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1967-1075.jpg'
Adult,three,Crocodylus,C. niloticus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_62-6-30-7.jpg'
Subadult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_64-1-25-4.jpg'
Adult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_64-8-8-12.jpg'
Subadult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_82-3-7-1.jpg'
Subadult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_89-9-20-1.jpg'
Adult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_94-6-5-33.jpg'
Adult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_97-6-24-1.jpg'
Subadult,three,Crocodylus,C. novaeguineae,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Long_Narrow,Slender,Slender,'C_novaeguineae_86-5-20-1.jpg'
Juvenile,two,Crocodylus,C. novaeguineae,2.25,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Long_Narrow,Slender,Slender,'C_novaeguineae_86-5-20-2.jpg'
Adult,three,Crocodylus,C. novaeguineae,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Long_Narrow,Slender,Slender,'C_novaeguineae_USNM211290.jpg'
Subadult,three,Crocodylus,C. novaeguineae,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Long_Narrow,Slender,Slender,'C_novaeguineae_USNM221301.jpg'
Subadult,three,Crocodylus,C. palustris,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_palustris_52-5-9-46.jpg'
Adult,three,Crocodylus,C. palustris,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_palustris_68-4-9-11.jpg'
Adult,three,Crocodylus,C. palustris,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_palustris_97-12-31-1.jpg'
Adult,three,Crocodylus,C. palustris,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_palustris_Presented by Capt Stokes RS.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_1866 prest by D'Lalconer.jpg'
Subadult,three,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_1929-2-22-5.jpg'
Juvenile,two,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_1932-7-19-1.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_1938-1-1-6.jpg'
Adult,three,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_1938-1-1-60.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_43-8-18-4.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_52-12-9-2.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_64-9-11-1.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_65-8-22-1.jpg'
Subadult,three,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_67-4-2-188.jpg'
Subadult,three,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_83-6-29-30.jpg'
Adult,three,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_97-12-31-2.jpg'
Juvenile,two,Crocodylus,C. porosus,2.25,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_Gray a u r h 1862.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_No ID.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_North Bornes.jpg'
Subadult,three,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_RCS727.jpg'
Hatchling,two,Crocodylus,C. rhombifer,1.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_rhombifer_ZUF047_Dorsal.jpg'
Mid-Stage Embryo,one,Crocodylus,C. siamensis,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_saimensis_stage23_Dorsal.jpg'
Late-Stage Embryo,one,Crocodylus,C. siamensis,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_saimensis_stage25_Dorsal.jpg'
Late-Stage Embryo,one,Crocodylus,C. siamensis,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_saimensis_stage27_Dorsal.jpg'
Subadult,three,Crocodylus,C. siamensis,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_1920-1-20-1626.jpg'
Adult,three,Crocodylus,C. siamensis,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_1921-4-1-168.jpg'
Adult,three,Crocodylus,C. siamensis,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_1921-4-1-171.jpg'
Adult,three,Crocodylus,C. siamensis,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_1929-11-23-1.jpg'
Hatchling,two,Crocodylus,C. niloticus,1.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_suchus_ZUF001_Dorsal.jpg'
Hatchling,two,Caiman,Caiman crocodilus,1.75,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_crocodylus_ZUF006_Dorsal.jpg'
Subadult,three,Caiman,Caiman latirostris,2.25,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Caiman_latirostris_1862 for 328.jpg'
Adult,three,Caiman,Caiman latirostris,2.25,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Caiman_latirostris_86-10-4-3.jpg'
Subadult,three,Caiman,Caiman latirostris,2.25,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Caiman_latirostris_Gray 1862 for 328.jpg'
Adult,three,Caiman,Caiman latirostris,2.25,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Caiman_latirostris_Speimen 2 of Gray 1873.jpg'
Hatchling,two,Caiman,Caiman latirostris,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Caiman_latirostris_ZUF004_Dorsal.jpg'
Late-Stage Embryo,one,Caiman,Caiman latirostris,1.25,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Caiman_latirostris_ZUF005_Dorsal.jpg'
Adult,three,Caiman,Caiman latirostris,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Caiman_latrirostris_86-10-4-2.jpg'
Subadult,three,Caiman,Caiman yacare,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_yacare_USNM281809.jpg'
Subadult,three,Caiman,Caiman yacare,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_yacare_USNM281810.jpg'
Subadult,three,Caiman,Caiman yacare,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_yacare_USNM281827.jpg'
Subadult,three,Caiman,Caiman yacare,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_yacare_USNM281836.jpg'
Adult,three,Gavialis,G. gangeticus,3,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,'G_gangeticus.jpg'
Subadult,three,Gavialis,G. gangeticus,2.75,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,'G_gangeticus_1935-6-4-1.jpg'
Adult,three,Gavialis,G. gangeticus,2.75,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,'G_gangeticus_1974-3009.jpg'
Subadult,three,Gavialis,G. gangeticus,2.5,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,'G_gangeticus_46-1-7-3.jpg'
Juvenile,two,Gavialis,G. gangeticus,2.5,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,'G_gangeticus_found w 96-7-7-4.jpg'
Subadult,three,Gavialis,G. gangeticus,2.75,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,'G_gangeticus_Specimen 5 of Gray 1873.jpg'
Adult,three,Gavialis,G. gangeticus,2.75,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,'G_gangeticus_specimen presented by.jpg'
Subadult,three,Mecistops,M. cataphractus,2.75,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'M_cataphractus_1900-2-27-1.jpg'
Subadult,three,Mecistops,M. cataphractus,2.5,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'M_cataphractus_1904-9-9-2.jpg'
Adult,three,Mecistops,M. cataphractus,2.75,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'M_cataphractus_1924-5-10.jpg'
Adult,three,Mecistops,M. cataphractus,2.75,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'M_cataphractus_1934-10-24-2.jpg'
Juvenile,two,Mecistops,M. cataphractus,2.5,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'M_cataphractus_1934-10-24-3.jpg'
Adult,three,Mecistops,M. cataphractus,2.75,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'M_cataphractus_62-6-30-8.jpg'
Subadult,three,Mecistops,M. cataphractus,2.75,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'M_cataphractus_64-4-6-1.jpg'
Subadult,three,Mecistops,M. cataphractus,2.5,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'M_cataphractus_86-12-30-2.jpg'
Adult,three,Mecistops,M. cataphractus,2.75,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'M_cataphractus_No ID.jpg'
Adult,three,Melanosuchus,Melanosuchus niger,2.75,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Broad,Blunt,Blunt,'Melanosuchus_niger_45-8-25-125.jpg'
Adult,three,Melanosuchus,Melanosuchus niger,2.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Broad,Blunt,Blunt,'Melanosuchus_niger_No ID.jpg'
Subadult,three,Melanosuchus,Melanosuchus niger,2.25,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Broad,Blunt,Blunt,'Melanosuchus_niger_Y2-6-4-1.jpg'
Juvenile,two,Osteolaemus,O. tetraspis,2,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'O_tetraspis_61-3-20-8.jpg'
Subadult,three,Osteolaemus,O. tetraspis,2.5,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'O_tetraspis_62-6-30-5.jpg'
Hatchling,two,Osteolaemus,O. tetraspis,1.5,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'O_tetraspis_Dorsal.jpg'
Adult,three,Melanosuchus,Melanosuchus niger,2.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Broad,Blunt,Blunt,'P_palpebrosus_45-8-25-126.jpg'
Adult,three,Paleosuchus,P. trigonatus,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'P_trigonatus_68-10-8-1.jpg'
Subadult,three,Paleosuchus,P. trigonatus,2.25,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'P_trigonatus_USNM213705.jpg'
Juvenile,two,Paleosuchus,P. trigonatus,2.25,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'P_trigonatus_USNM234047.jpg'
Subadult,three,Paleosuchus,P. trigonatus,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'P_trigonatus_USNM317555.jpg'
Subadult,three,Tomistoma,T. schlegelii,2.5,Crocodyloidea,Gavialoidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'T_schelgelii_99-1-31-1.jpg'
Adult,three,Tomistoma,T. schlegelii,2.75,Crocodyloidea,Gavialoidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'T_schlegelii_48-10-31-19.jpg'
Adult,three,Tomistoma,T. schlegelii,2.75,Crocodyloidea,Gavialoidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'T_schlegelii_60-11-6-8.jpg'
Adult,three,Tomistoma,T. schlegelii,2.75,Crocodyloidea,Gavialoidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'T_schlegelii_No ID.jpg'
Late-Stage Embryo,one,Gavialis,G. gangeticus,1.5,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,'gavialis_44-2-2-116b_dorsal.jpg'
Late-Stage Embryo,one,Gavialis,G. gangeticus,1.5,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,'gavialis_44-2-2-116a_dorsal.jpg'
Late-Stage Embryo,one,Alligator,A. mississippiensis,1.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_miss_oldest_dorsal.tif'
Mid-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1633a_dorsal_flatpalate.tif'
Mid-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1633d_dorsal_palateflat.jpg'
Mid-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1633g_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1633o_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1651_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1653_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_2585_dorsal_palateflat.jpg'
Mid-Stage Embryo,one,Osteolaemus,O. tetraspis,1.5,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'O_tetraspis_e71_dorsal_palateflat.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_028_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_029_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_031_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_032_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_034_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_035_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_036_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_037_dorsal_flatst.jpg'
